Number,Scramble,Single,Best Single,Ao5,Best Ao5,Ao12,Best Ao12,Ao50,Best Ao50,Ao100,Best Ao100,Ao1000,Best Ao1000
1,U2 L R2 B2 R' B2 U2 R' U R D2 F L2 D F' R' F2 L2 D,0.986,0.986,0,0,0,0,0,0,0,0,0,0
2,D F' U B2 D R L D' R2 L F U2 B' U2 L2 F U2 F L2 U2,0.973,0.973,0,0,0,0,0,0,0,0,0,0
3,R' B' R2 F2 U' F' D L F2 R U' D2 F2 D2 B2 L B2 R',0.958,0.958,0,0,0,0,0,0,0,0,0,0
4,B R2 D2 B2 U2 F' L2 D2 B' D2 B U' L U F' U' B2 D2 R2 D,0.895,0.895,0,0,0,0,0,0,0,0,0,0
5,R D2 U2 F2 L B2 R' F2 L' F' U2 L2 B D U2 F' D2 F' L D2,0.931,0.895,0.954,0.954,0,0,0,0,0,0,0,0
6,B' F' U2 B2 U2 L2 U2 F D2 L' B U' B' U2 L2 F' U' L2 R2,0.978,0.9309999999999999,0.953,0.953,0,0,0,0,0,0,0,0
7,F' R2 D2 L2 F U2 B F2 D F2 D2 R' U B2 L' R U F' R',0.924,0.924,0.937,0.937,0,0,0,0,0,0,0,0
8,D' L2 U F2 U2 B2 R2 U' L2 B2 L R' F' L R2 B2 R' F2 U' L2,0.993,0.924,0.944,0.937,0,0,0,0,0,0,0,0
9,F2 U2 R2 B F2 U2 F' L2 F U L B' L2 U' B' R' U L' U,0.932,0.932,0.947,0.944,0,0,0,0,0,0,0,0
10,D2 F' D2 B L2 F' D2 F' U2 L' B F L D2 U B D' U,0.838,0.838,0.944,0.944,0,0,0,0,0,0,0,0
11,U2 B' L2 U F' D2 B U2 B R' F' U' R2 U' D' F2 D R2 U',1.043,0.838,0.949,0.944,0,0,0,0,0,0,0,0
12,U' F2 U R2 D F2 L2 U' R U' F' U L' B D' F2 U2 B L',0.967,0.967,0.964,0.949,0.953,0.953,0,0,0,0,0,0
